subject,description,category,attempts,feedback,drafts,reviews,queries,context
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there! I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They will be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval.  They'll be in touch shortly. || Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
Charged twice for July invoice,I was billed two times for the Pro plan. Please refund the duplicate charge.,Billing,2,Ground the answer in retrieved context bullets.,Hi there!  I see you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur due to payment processing. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly. || Hi there!  I understand you were charged twice for your July Pro plan.  Duplicate charges can sometimes occur if our payment system retries a failed transaction on the 1st of the month. I'll escalate this to our Billing team for review and approval of a potential credit.  You'll hear back from them shortly.,rejected: Ground the answer in retrieved context bullets. || rejected: Ground the answer in retrieved context bullets.,Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. | Charged twice for July invoice I was billed two times for the Pro plan. Please refund the duplicate charge. Ground answer retrieved context bullets.,Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens. | Refunds require approval from Billing; never promise refunds in replies. | Refunds require approval from Billing; never promise refunds in replies. | Invoices are generated on the 1st of each month; duplicate charges can occur if a retry happens.
